Gの各xに対してx＋x＋x＋x＝0となる性質を持つ、次数16の加法的アーベル群Gは、同型まででいくつあるか?,0,1,2,3,D
"vが可逆行列Aの固有ベクトルであるとき、次のうち必ず真であるものはどれか? 
Ⅰ. v は 2A の固有ベクトルでもある。
II. vはA^2の固有ベクトルでもある。
III. vはA^(-1)の固有ベクトルでもある。",I のみ,II のみ,III のみ,IとIIとIII,D
整数k!の通常の10進表現がちょうど99個のゼロで終わる正の整数kはいくつあるか?,なし,1つ,4つ,5つ,D
"Rを乗法の単位元を持つ環とする。UがRの加法的部分群であり、UのすべてのuとRのすべてのrに対してUにurがある場合、UはRの右イデアルであるという。 Rが正確に2つの右イデアルを持つ場合、次のうちどれが真でなければならないか? 
I. Rは可換。
II. Rは除法環 (つまり、加法の単位元以外のすべての要素は乗法的逆数を持つ)。
III. Rは無限。",I のみ,II のみ,III のみ,I と II のみ,B
偽造品であることがわかっている6面体のサイコロ（面には通常通り1から6までの数字が振られている）がある。偶数が出る確率は奇数が出る確率の2倍である。このサイコロを2回投げたとき、1回目が5、2回目が6になる確率は?,2/81,1/18,2/27,1/9,A
文1 | {s_n}と{t_n}が、lim_n→∞ s_n = sおよびlim_n→∞ tn = t. lim_n→∞ s_nt_n = st.のような複素数列であると仮定する。文2 | 収束部分列を持たない実数の有界列が存在する。,真、真,真、偽,偽、真,偽、偽,B
"整数の集合であるZ上の二項演算を、方程式m • n = m + n + mnで定義する。
二項構造(Z, • )に関する次の記述のうち、正しいものはどれか? 
I. 演算は連想ではないので、この構造は群ではない。
II. 恒等要素がないので、この構造は群ではない。
III. すべての要素が逆数を持つわけではないので、この構造は群ではない。
IV. この構造は群。",I と II のみ,IとIIIのみ,IIとIIIのみ,III のみ,D
ケイトがGREの数学の模擬テストを書くのにk日かかる。ジョンがGREの数学の模擬テストを書くのにかかる日数はj日である。ケイトとジョンが交互に2日交代で模擬テストに取り組む場合、ケイトが開始するときは10日、ジョンが開始するときは10.5日かかる。ケイトとジョンが同時に作業した場合、2人が模擬テストを完了するのにかかる日数は?,9/2日,5日,41/8日,36/7日,D
半径1の円の中心に1つの頂点を持ち、他の2つの頂点が円上にある三角形の領域の可能な最大面積は?,1/2,1,sqrt(2),π,A
"すべての実数xとyに対してf(x,y)=x^2-2xy+y^3とする。次のうちどれが正しいか?",fは、そのすべての相対的な極値をx=y線上に持つ。,fは、放物線x=y^2上にすべての相対的な極値を持つ。,"fは(0, 0)で極小を持つ。",fは(2/3、2/3)に絶対最小値を持つ。,A
5つのオブジェクトの順列群の要素の最大の次数は?,5,6,12,15,B
S(n)は、S(k)が真であるときはいつでも、S(k + 1)も真でなければならないような、正の整数nに関する記述である。さらに、S(n0)が真でないような正の整数n0が存在する。次のうち、最も強い結論はどれか?,S(n0 + 1)は真ではない。,S(n0 - 1)は真ではない。,S(n)はどのようなn <= n0に対しても真ではない,S(n)はどのようなn >= n0に対しても真ではない,C
xyz空間において、原点に最も近い平面上の点2x + y + 3z = 3の座標は?,"(0, 0, 1)","(3/7, 3/14, 9/14)","(7/15, 8/15, 1/15)","(5/6, 1/3, 1/3)",B
3<=n<=11のような整数nに対して、(同形まで)位数nの群が1つだけ存在するのはどれか?,そのような整数nがない場合,3、5、7、および11のみ,3、5、7、9、および11のみ,4、6、8、および10のみ,B
木は循環のない連結グラフである。頂点が5個の非同型の木はいくつ存在するか?,1,2,3,4,C
AとBがn×nの可逆行列で、n＞1、Iはn×nの単位行列であるとする。A と B が相似行列である場合、次の記述のどれが真でなければならないか? I．A - 2I と B - 2I は相似行列。II. AとBは同じトレースを持つ。Ⅲ. A^-1とB^-1は相似行列。,I のみ,II のみ,III のみ,IとIIとIII,D
方程式が (y - 3)^2 + z^2 = 1 であるyz平面上の円をCとする。Cをz軸の周りに回転させると、できる曲面はトーラスになる。このトーラスの方程式は?,x^2 + y^2 + z^2 + 8 = 6y,(x^2 + y^2 + z^2)^2 = 8 + 36(x^2 + z^2),(x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + z^2),(x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + y^2),D
x = 0 における y = x + e^x のグラフに接する直線の方程式はどれか?,y = 2x + 1,y = 2x,y = x + 2,y = x + 1,A
すべての実数2×3行列の実数ベクトル空間をVとし、すべての実数4×1列ベクトルの実数ベクトル空間をWとする。TをVからWへの線形変換とするとき，Tの部分空間カーネルの次元は?,2,3,4,5,A
文1 | ∑|a_i|が発散し、∑a_i = 2であるとする。∑ a_i_k = 4となるような項の並べ替えa_i_kが存在する。文2 | Xが閉じていて有界の距離空間XとYが存在し、f(X)が「閉じていて有界」ではないような連続写像f : X → Yが存在する。,真、真,真、偽,偽、真,偽、偽,A
ユークリッド平面上の凸10角形における鋭角の最大数はどれか?,1,2,3,4,C
f(z)が有限複素平面全体を実軸に写像する解析関数である場合、虚軸は、以下のどれの上に写像されなければならないか?,実軸全体,点,半直線,開いた有限区間,B
G中のすべてのa、bについて(ab)^2 = a^2b^2である群Gは、必然的にどうなるか?,有限,環状,2次,アーベル,D
"fが開区間(-1, 4)上で定義された連続微分可能実数値関数であり、f(3) = 5であり、すべてのxに対してf'(x) ≥ -1であるとき、f(0)の取り得る最大値はどれか?",3,4,5,8,D
"AとBが実数エントリを持つn×n行列であるとする。次のうち正しいものはどれか? 
I. A^2のトレースは非負である。
II. A^2 = Aならば、Aのトレースは非負である。
III. ABのトレースはAとBのトレースの積である。",II のみ,III のみ,I と II のみ,IIとIIIのみ,A
7^25の標準10進展開における1の位は?,1,3,5,7,D
"文1 | f : X → Y は連続であり、X はコンパクトである。 fは均一に連続していなければならない。文2 | f(x), g(x) ：R → R がどこでも微分可能なら、f(g(x)) はどこでも微分可能でなければならない。",真、真,真、偽,偽、真,偽、偽,A
xy平面の第1象限にある曲線y = xとy = x^2で囲まれた領域をy軸を中心に回転させる。結果として生じる回転立体の体積は次のうちどれか?,π/12,π/6,π/3,2π/3,B
xy平面において、パラメトリック方程式x = cos t と y = sin t、0 <= t <= piを持つ曲線の長さは、次のどれか?,3,π,3π,3/2,B
"べき級数の収束区間として有効なものはどれか? 
(I) [-1, 3]
(II) (-∞, 0]
(III) [2, 2]∪ [3, 3]
(IV) (-∞,∞)",(II) のみ,(IV ) のみ,(I) と (IV ),(II) と (III),C
f:R->Rがルベーグ可積分の有界関数である場合、次のうちどれが真でなければならないか?,fはリーマン可積分。,Eのすべてのxでfが微分不可能であるようなRの可算無限Eは存在しない。,Eのすべてのxでfが微分不可能であるようなRの非可算部分集合Eは存在しない。,上記のいずれでもない。,D
xy平面において、x^(log y) = y^log xのグラフは?,開いた第1象限,閉じた曲線,開いた第1象限内の半直線,1点,A
ノルム ||x||_p が内積として表現可能なpはどれか?,1,2,p >= 1,無限大,B
Sをコンパクトな位相空間、Tを位相空間、fをSからTへの関数とする。fに関する次の条件のうち、Tのコンパクトさを保証するのに十分な最も弱い条件はどれか?,fは同相。,fは連続かつ一対一。,fは連続。,fは一対一。,C
内接円が半径2の正三角形の面積は?,12,16,12*sqrt(3),16*sqrt(3),C
nの値に対して、同型までの位数nのアーベル群がちょうど2つ存在するのはどれか?,4,7,8,12,A
"x,y,z(R^k)に対して常に真でないのはどれか?",|x| ≥ 0,|x - y| ≤ |x||y|,x = 0 の場合に限り |x| = 0,|x + y| = |x| + |y|,D
Vを、通常の演算の下で、高々次数3の実数多項式のベクトル空間とする。Wを、p(0)=p(1)=p(-1)=0となるようなVにおけるすべての多項式p(x)の部分空間とする。次に、dim V+dim Wは次のうちどれか?,4,5,6,7,B
VとWがR^4の2次元部分空間である場合、VとWが交差する部分空間の次元は?,1のみ,2のみ,0と1のみ,0、1、2のみ,D
曲線y=(sin x+cos x)^4とy=(sin x-cos x)^4はx=0で交差する。aがxの最小の正の値であり、これらの曲線が次に交差する場合、x=0からx=aまでのこれらの曲線の間の面積を決定せよ。,2,π,4,3π/2,C
"fを平面から実数への線形変換とし、f(1, 1) = 1、f(-1, 0) = 2とすると、f(3, 5)は?",9,8,0,-5,A
多項式 2x^5 + 8x - 7 の実根はいくつあるか?,なし,1つ,2つ,3つ,B
ある大学の数学科には10人の教授がおり、来学期は20のコースを開講する。各教授はちょうど2つのコースを担当し、各コースにはちょうど1人の教授が担当する。どの教授もどのコースを担当することができる場合、10人の教授が20のコースを担当する可能性は何通りあるか?,20!/2^(10),10!/2^9,10^(20) - 2^(10),10^(20) - 100,A
次のうち正しいものはどれか?,"(C, +, ×, ≤)が順序体でないような線形順序関係≤を複素数Cに置くことが可能。","(C, +, ×, ≤)が順序体であるような線形順序関係を複素数Cに置くことが可能。",(a)と(b)のどちらでもない,(a)と(b)の両方。,A
あるゲームで2人のプレイヤーが交互に公正なコインを投げ、先に表が出た方が勝ちとなる。最初にトスをしたプレイヤーがゲームに勝つ確率はいくらか?,1/4,1/3,1/2,2/3,D
次のうち群でないものはどれか?,加算下の整数,乗算下の0でない整数,乗算下の0でない実数,加算下の複素数,B
xとyを3x + 7yが11で割り切れるような正の整数とする。次のうち、11で割り切れるものはどれか?,4x + 6y,x + y + 5,9x + 4y,4x - 9y,D
制約条件x^2 + y^2 + z^2 <= 2に従う、R^3上で定義された関数としての式x + 4zの最小値は?,0,-2,-sqrt(34),-sqrt(35),C
"Rを環とし、UとVをRの(両側の)イデアルとする。次のうち、Rのイデアルでなければならないものはどれか? 
I. {u+v:u\inおよびv\in V}
II. {uv:u\in Uおよびv\in V}
III. {x:x\in Uおよびx\in V}",II のみ,III のみ,I と II のみ,IとIIIのみ,D
x軸と関数f(x) = x/(1+x^3)で囲まれた領域をx軸を中心に回転させる。生成された固体の体積は?,π/3,π/4,π,2π,A
今日が水曜日だとする。今から10^(10^(10))日後の曜日は?,日曜日,月曜日,火曜日,水曜日,A
"逆さ円錐の頂点にある穴から、毎分3cm^3の割合で水が滴り落ちている。
円錐の高さは2cm、半径は1cmである。
水位が円錐の頂上から半センチメートル下にあるとき、水の高さはどのくらいの割合で変化するか? 円錐の体積は V = (π/3)*r^2*h であり、
r は半径、h は円錐の高さである。",-48/π cm/min,-4/(3π) cm/min,-8/(3π) cm/min,-16/(3π) cm/min,D
"(w, x, y, z)の形の解を持ち、x、y、zが実数である連立方程式
w + 3x + 2y + 2z = 0
w + 4x + y = 0
3w + 5x + 10 y + 14z = 0
2w + 5x + 5y + 6z = 0
を考える。次の記述のうち、誤っているのはどれか?",系は矛盾しない。,系は無限個の解を持つ。,2つの解の和は解である。,"すべての解は(-5, 1, 1, 0)のスカラー倍。",D
すべての実数xに対してc > 0かつf(x) = e^x - cxのとき、fの最小値は?,f(c),f(e^c),f(1/c),f(log c),D
"Aがdet(A-λI)=-λ^3+3λ^2+λ-3となるような3×3行列であるとする。ここでIは3×3の単位行列である。 Aに関して正しいものは次のうちどれか? 
I. Aのトレースは3である。
Ⅱ. Aの確定値は-3である。
III. 行列Aは固有値-3と1を持つ。",I のみ,II のみ,III のみ,I と II のみ,D
x = 1のときy = 0となるような微分方程式x dy + (y - xe^x) dx = 0の解をy = f(x)とする。f(2)の値は?,1/(2e),1/e,e^2/2,2e,C
公正なコインを100回投げて、それぞれ表か裏を出す。Hを表の総数、Tを裏の総数とするとき、次の事象のうち確率が最も高いのはどれか?,H = 50,T >= 60,51 <= H <= 55,H >= 48 かつ T >= 48,D
"文1 | f:[a, b]が関数で、fが局所的極大値を持つとする。 f'(x)は存在し、0に等しい。 文2 | RからQへの非定数連続マップが存在する。",真、真,真、偽,偽、真,偽、偽,D
I != A != -I とする。ここで、I は単位行列、A は実数 2 x 2 行列である。A = A^(-1)とすると、Aのトレースは次のうちどれか?,2,1,0,-1,C
平らな長方形の庭の3辺を合計xフィートのフェンスで囲む。この庭の最大面積はxで表すといくらになるか?,x^2/9,x^2/8,x^2/4,x^2,B
"文1 | Aが連結しているならば、Aの閉包は連結していなければならない。文2 | すべての連続関数f : (0, 1) → (0, 1)は固定点を持つ。",真、真,真、偽,偽、真,偽、偽,B
次の集合のうち、最大濃度を持つものはどれか?,R,ZからZへのすべての関数の集合,"Rから{0, 1}へのすべての関数の集合",Rのすべての有限部分集合の集合,C
f(x)をグラフが原点を通る関数とする。すべての整数 n に対して f(2n) = n^2 + f[2(n - 1)] とするとき、f(8) の値はいくらか?,24,30,32,36,B
次数72を持つ構造的に異なるアーベル群はいくつあるか?,4,6,8,9,B
有限群Gが次数7の部分群を含むが、（恒等式以外の）要素がそれ自身の逆数でない場合、Gの次数は?,27,28,35,37,C
"すべての実数xとyに対して、f(x, y)=x^3+y^3+3xyとする。この場合、fが次のうち何を持つ異なる点PとQが存在するか?",PとQで局所最大,PとQで鞍点,Pで局所最大、Qで鞍点,Pで局所最小、Qで鞍点,C
Aが実数直線Rの部分集合であり、Aがそれぞれの有理数を含む場合、次のうちどれが真でなければならないか?,Aが開いている場合、A=R。,Aが閉じている場合、A=R。,Aが数えられない場合、A=R。,Aが数えられない場合、Aは開いている。,B
Mを5 x 5の実行列とする。Mに関する次の5つの条件のうち、正確に4つは互いに等価である。5つの条件のうち、他の4つの条件のいずれにも該当しないものはどれか?,"Mの任意の2つの異なる列ベクトルuおよびvに対して、集合{u, v}は線形独立。",均一系Mx=0は自明な解のみを持つ。,連立方程式Mx=bは、各実数5 x 1列ベクトルbに対して一意の解を持つ。,Mの行列式はゼロではない。,A
方程式cos(97x) = xを満たす正の数xはいくつあるか?,1,15,31,49,C
次の環のうち、0でない2つの要素の積が0になる環はどれか?,複素数の環,11を法とする整数環,"[0, 1]上の連続実数値関数の環",{a + b * sqrt(2) : a と b は有理数} の環,C
群Gのそれ自身への写像x->axa^2は、次のどの場合に限り準同型写像か?,Gがアーベル,G = {e},a^3 = e,a^2 = a,C
"(i,j) エントリーがi + jに等しい2×2の行列をAとし、(i,j) エントリーがi + jに等しい3×3の行列をBとするとき、和detA + detBの値を求めよ。",-2,-1,0,2,B
"f : (0, 1) → (0, 1]のとき、次のうち正しいのはどれか? 
I. fは一対一で上。
II. fの像はコンパクト。
III. f は連続であり、一対一であり、かつ上へのもの。",I のみ,II のみ,I と II のみ,IとIIIのみ,C
"ある実数xが区間[0, 3]で無作為に選ばれ、ある実数yが区間[0, 4]で無作為に選ばれたとき、x＜yである確率は?",1/2,7/12,5/8,2/3,C
"R^2内の点(x, y)が選ばれる確率は、不等式0 < |x| + |y| < 1で表される領域内の一様確率分布に従う。2(x + y) > 1 となる確率は?",0,1/4,sqrt(2)/4,1/sqrt(2),B
(1+i)^10 =は何か?,1,i,32,32i,D
UとVがR^5の3次元部分空間である場合、U∩Vの可能な次元は?,0,1,0 または 1,"1, 2, または 3",D
"単位正方形[0,1]×[0,1]内のすべての点(x,y)からなるR^2の部分集合で、xまたはy、あるいはその両方が無理数であるものをSとする。R^2上の標準トポロジーに関して、Sはどうなるか?",閉,開,連結,完全切断,C
放物線x^2 = y + 4と交わる点の数が最も多い円はどれか?,x^2 + y^2 = 1,x^2 + y^2 = 2,x^2 + y^2 = 9,x^2 + y^2 = 16,C
Xは次の性質を持つ有限集合である：ちょうど 3 個の要素を含む X の部分集合の数は、ちょうど 2 個の要素を含む X の部分集合の数より 14 個多い。Xの部分集合のうち、ちょうど4個の要素を含むものはいくつあるか?,24,25,28,35,D
"点(1, 2)を(2, 3)に、点(-1, 2)を(2, -3)に写す線形変換をT: R^2 -> R^2とする。Tは点(2, 1)を次のどの点に写すか?","(1, 6)","(-1, 4)","(3, 2)","(-4, 3)",A
