環境の変化は国家安全保障上の利益と両立しうるか?,天然資源管理や雇用など、経済成長に対する環境問題は、多様化や研究につながり、長期的には軍事計画を強化する技術的進歩をもたらす可能性がある。,環境の変化は、軍事力を左右する経済基盤の弱体化など、さまざまな形で国家の安全保障を損なう可能性がある。つまり、経済の自然資本基盤が損なわれれば、軍隊の長期的能力も損なわれる。しかし、どのような発展であれ、その影響は「人間的」なものである。,各国が直面する環境問題は、主として国内問題である。外部からの脅威は、その国がコントロールできる範囲にとどまる。外部からの軍事的脅威は、変わることなく、主要な懸念事項であり続ける。,これらすべての選択肢。,B
リベラリズムをどのように表現するのが最も適切か?,リベラリズムは基本的に悲観的なアプローチであり、国際システムは紛争の激化に運命づけられているとみなす。これは国際政治の実践において支配的な考え方。,リベラリズムは、国際政治の理論において斬新な考え方である。楽観的なアプローチであり、特に紛争状況下において、国家が互いにどのように関わるべきかを定義している。,リベラリズムは楽観的なアプローチであり、より平和な世界が可能であるという信念のもと、国際問題をよりよく遂行するための方向性を提示するものである。これは、国際政治の実践において支配的な考え方。,リベラリズムは、国際関係論の主流理論として存在するのではなく、伝統的な安全保障パラダイムの制約から独立して、国際システムの中で権力を獲得しようとする国家や政治主体に対して、一連のガイドラインや助言を提供するもの。,C
次のうち、クラウスが定義した「批判的安全保障研究」の統一原則の一つでないものはどれか?,主要なアクターは、政治的慣行を通じて作られる社会的構成要素。,自然科学の方法論は社会科学を研究するための最良の方法であり、解釈的方法論は綿密な分析に必要な一貫性を欠いている。,社会世界の知識は客観的なものではない、なぜなら社会世界とその世界の知識との間には隔たりがないから。,理論の目的は、一般化可能な因果関係の主張による説明ではなく、文脈の理解と実践的知識。,B
「攻撃的」と「防御的現実主義」を考えると、これらの記述のうち正しくないのはどれか?,攻撃的現実主義は、国際システムを、国家が権力の獲得を通じて安全保障を達成しようとする環境と定義している。,防御的現実主義は、協力を国家が安全保障を達成する方法として見做している。,防御的現実主義も攻撃的現実主義も、権力と競争を国家の安全保障を達成する手段と見なしている。,攻撃的現実主義は、国家は可能な限り覇権を追求するという理論を立てている,C
9.11の同時多発テロ以降、安全保障と脅威認識において主流となっているパラダイムは何か?また、それはどの程度適切な対応なのか?,安全保障のパラダイムは、無力化の理解を助け、NGO、政策立案者、学界の平和研究への関与を促進するために、マルチレベル分析を発展させてきた。,米国主導の戦略における安全保障のパラダイムは、短期的な措置の実施であり、その多くは平和研究コミュニティの研究から導き出されたものである。平和維持、平和創造、さらなる紛争を防ぐための構造改革に重点を置いている。,近年の安全保障のパラダイムは、ある程度「リディズム」に回帰している。問題の根本的な原因を解決することなく、崩壊しかねない国際システムに蓋をしている。,安全保障研究に対する支配的なアプローチは、米国主導のイニシアチブであり、政府間協力、特に倫理的介入へのコミットメント、国際社会の非軍事化と並行して平和的変革を確保するための責任を担う必要性を認識している。,C
環境安全保障の概念はどのような点で争われてきたか?,環境安全保障の分析は、人間の活動が主な脅威である生態系全体の完全性と理解されている。しかし、国家安全保障の利益から地球の社会生態系システム全体の福祉へと行動理由を転換することを要求するという点で、安全保障の考え方に根本的な疑問を投げかけている。,環境安全保障は、生態系の完全性に対する主要な脅威は人間の活動であり、したがって、国内レベルで福祉が保護される限りにおいて、人間は安全保障されると主張する。行動の理由は個人と国家の利益にある。,すべての問題が真にグローバルなものではないため、共通の不安定な問題領域のクロスオーバーはありそうもない。すべての国家が環境問題に等しく責任を負っているわけではないし、リスクの平等というものも存在しない。システム的な相互依存関係によって、これらの安全保障分野を管理することは考えにくい。,環境安全保障に対する生態学的安全保障と人間の安全保障のアプローチは、安全保障の代替的な対象を検討するよう安全保障コミュニティに挑戦するものではない。生態学的安全保障は、通常、国家の安全保障を集中化する安全保障の主要な解釈との連続性を示している。,A
弱い国家の不安の起源はどのように説明できるのか?,歴史的分析の枠組みにおける弱い国家の不安は、長期的な国家建設過程における異常な状態を表す。社会勢力間の血なまぐさい暴力的対立は、暴力を独占する能力を持つ中央集権的勢力の存在とは一致しない。,欧州における国家統合の歴史的状況と比較して、弱い国家の不安を説明することの有用性は、統合プロセスにおいて暴力的紛争が顕在化することを防ぐための国際的規範が浸透しているため、現代の国際社会の文脈には存在しない。,現代の国家建設の条件は、確立された国際規範のガイドラインの中で運営される短い時間枠によって制約されており、その中で特に問題となる規則は主権である。したがって、国家建設プロセスを完了できず、より存続可能な単位に吸収されたヨーロッパのいくつかの国家とは異なり、弱小国家は準主体であり続ける。,弱小国家の不安は、規範としての主権の否定と、それに対応する国家としての不可侵権の拡張に起因する。国際法による保護がなければ、国家の地位が剥奪され、領土が他の国家に吸収される可能性があり、国家建設プロセスの強化が脅かされる。,C
ポストコロニアリズムにおける「サバルタン」を説明するのに最も適切なものは次のうちどれか?,サバルタンとは、地理的に南半球に位置する人々を指す。,サバルタンとは、グローバル・サウス出身の学者の特定のグループに適用される用語。,サバルタンとは、社会から疎外された人々、あるいは覇権的な権力構造の外にいる人々を指す。,サバルタンとは、インド亜大陸を指す。,C
生物学的な違いは、男女が国家のために果たさなければならない役割にどのような影響を与えるのか?,生物学的に女性の身体は弱いと決めつけられているため、男性は女性を守るために国家安全保障機構を支配し続ける。女性は現実的な生物学的差異を認識しており、それを受け入れることによって、男性が自分の保護者や介護者として行動することを許している。その見返りとして、女性は自分より能力の劣る人々、自分の子供、幼児、高齢者、病弱者の保護者、介護者として行動しなければならない。,女性にとって最も親密な人間の営みは、政治的、宗教的な男性優位のエリートの要求よりも重要である。生物学は、国家の人口を再生産するという重大な責任が女性だけの義務となることを決定し、女性の親密な選択は、その責任を果たす。,無差別戦争はジェンダーに中立であり、現代の紛争においては、リスクや義務のレベルに男女差はない。（コンゴ民主共和国やバルカン紛争のように）男性も女性と同じように集団レイプの被害者になる可能性があり、女性も同じように徴兵されたり、兵役を強要されたりする可能性がある。,性別的役割は社会的構築物である。私たちが男性らしさ、女性らしさに帰属させる価値観、たとえば強さやおもいやりなどは、生まれつきの生物学的特性ではなく、共有された社会的理想の産物である。男性も女性も、効果的に子どもの世話をすることも、暴力的で攻撃的な行動をとることも、同じようにできる。しかし、ジェンダーの役割に関する社会的構築物は広く浸透しており、女性は紛争におけるジェンダーに基づく暴力の被害者になる可能性が高い一方で、男性は暴力の加害者として関与する可能性が高い。,D
動機づけ現実主義によれば、いわゆる「貪欲な国家」の行動を鼓舞するものは何か?,人間の本性は基本的に貪欲。,これらすべての選択肢。,富と繁栄を増大させたいという国家の欲望。,国家のイデオロギーを広めたいという欲望。,B
影響力のある『人間開発報告』が発行されたのは何年か?,1987年,1997年,1994年,2004年,C
安全とはどういう意味か?,安全保障とは、侵略者を阻止する強制力を意味する。安全保障とは、戦争からの自由であり、攻撃的な攻撃を抑止したり、打破したりする能力。,安全保障とは、国家、国家内の社会、およびそれらの社会の価値観に危害を及ぼす可能性のある脆弱性（外部および内部の両方）からの安全を意味する。,安全保障とは、食料、医療、豊かに生きる機会など、人間の生存と幸福にとって最も重要なものを享受する自由を意味する。,これらすべての選択肢。,D
国際社会における生物兵器のもたらした国家安全保障への影響は何か?,西側諸国、特にカナダ、英国、米国は、炭疽菌、野兎病、Q熱、ベネズエラウマ脳炎、抗農業用薬剤の兵器化に関する研究を行った。しかし西側諸国では、生物兵器は軍事的な有用性に欠けるとの見方が一般的であった。その代わりに、戦略家は核兵器と通常戦力に集中してきた。,ソ連は、自然に発生する病気を兵器化するために、遺伝子工学に関する最も大規模な研究プログラムを実施した。しかし、ソ連は生物兵器計画を、1970年代にNATOで台頭しつつあったグローバル・ストライク・コンプレックスへの対抗策、あるいは核兵器交換における回復を阻害する方法と見なしていた可能性が高い。したがって、生物兵器計画は冷戦の文脈で考えるべき。,生物兵器は、生物や毒素を利用して弱体化させたり殺したりするが、これらの生物や毒素は自然界に存在するため、自然に発生する病気と破壊活動を区別することが難しく、さらに国家の能力を検証することが難しい。,これらすべての選択肢。,D
安全保障を批判的に読み解く上で、米国の「軍人の母親」はどのように重要なのか?,母親は受動的な対象ではなく、軍の採用担当者の特定の標的であり、採用を促進するために積極的な関与に依存している。,「軍人の母親」の役割を検証することで、軍事力を増強し維持するために必要なジェンダー戦略化の程度が明らかになる。,これらすべて。,母親は軍事力の行使に不可欠であるが、従来の安全保障分析では見過ごされがち。,C
弱小国家は多くの安全保障上の脅威に直面しているが、次の脅威のうちあてはまらないものはどれか?,軍閥主義と犯罪組織の利益と影響力の主張。,隣国からの紛争を逃れた難民の突然の流入。,クーデター、軍事反乱、反乱。国家の軍隊が政治に暴力的に介入し、支配エリートを転覆させ、取って代わること。,権威ある権力の奪い合いや強者による強制。,B
TNCはどのような点で新しい概念とみなされるか?,組織化された国境を越える犯罪集団とは、無作為に形成されたか否かを問わず、組織化された集団であって、その構成員の役割又は構成員の継続性が正式に定義されていないが、犯罪を犯す意図について発展した目的を有するものをいう。,国境を越えた組織的犯罪活動は、高度の見返りを目的とした利益追求型の犯罪で構成され、その結果、不正な利益の再投資を通じて合法経済を破壊または浸透させる可能性がある。,国境を越えた犯罪組織とは、その活動様式が、例えば殺人、窃盗、マネーロンダリングなどの国内法の違反につながる組織であり、組織的暴力の採用がその特徴。,「国境を越えた犯罪」と「組織犯罪」という用語は、時として同じ意味で使われることがあるが、すべての国境を越えた犯罪が組織された集団によって行われるわけではなく、また、すべての組織された集団が国境を越えた犯罪に関与するわけでもない。非合法活動の利潤追求は定義が難しく、時折国境を越えた犯罪活動に従事するが、それ以外は合法的な活動家である個人または企業を含む場合がある。,B
次の記述のうち、現代の国際政治システムにおける疾病の流行に関する我々の理解を特徴づけていないものはどれか?,感染症は国境を越え、階級、性別、教育、貧富の差もある程度は超える。,パンデミックは国家の安全保障に直接的なリスクをもたらす一方で、より広範な国際的安定を損なう可能性もある。,テロリズムと同様、パンデミックもまた、多様でありながら相互に関連し合う一連の脅威とリスクをもたらす。,国際システムにおける感染症の監視と治療のための既存のメカニズムは、パンデミックの発生を効果的に封じ込めることができる。,D
ジェンダーはどのような形で国家と紛争の概念化を形作っているのか?,戦争と安全保障に関する伝統的な文献にはしばしば見あたらないが、女性はしばしばナショナリズムの目的のために役立っており、ナショナリズムはしばしば高度にジェンダー化された女性の言葉で表現され、女性は国家の象徴である。,国家的アイデンティティーの感覚は、戦争を含むさまざまな共有体験を通じて育まれる。政治指導者のような象徴的な国家的人物の賛美は、顕著なジェンダー性を持たず、男女は一般的に公的領域で同じタイプの役割を果たす。,国家の誇りと成功の尺度は、子供を産む能力など、女性の特質を美化する方向に偏っている。女性を家庭内に限定することで、家庭生活、女性的な強さ、母性的な特性の称賛を基礎とする国民的アイデンティティの感覚が生まれる。,国民のアイデンティティについて考えるとき、暴力、肉体的な強さ、攻撃性、力を行使する能力が女性的な特性として帰属する。男性のアイデンティティは、家庭性、養育、世話、育児の一つであると想像される。,A
生物学が紛争後のジェンダー安全保障に及ぼす実際的な影響とは何か?,戦争中と戦争後の女性の扱われ方に関する最近の調査から、軍隊と文民の女性との関係に曖昧さがあることが明らかになった。紛争において女性はしばしば敵による暴力の標的となってきたが、「保護者」の手によって被害を受けることもある。このことは、特に紛争後の状況において、ある種の平和維持活動に女性兵士を従事させるべきだという主張を強めるもの。,紛争後社会における女性に対する暴力の蔓延は、暴力が軍国主義社会でより蔓延しているという主張を軽んじている。戦前社会でも戦後社会と同様に女性は男性から守られていた。,ケース・スタディにより、ある種の軍隊家族では、暴力のレベルは戦闘中に受けた心理的ダメージの程度に左右されるが、これは変動的であり、性別でなく個人によることが明らかとなった。,戦争中と戦争後の女性の扱われ方に関する最近の調査では、軍隊と民間人女性との関係に曖昧さがあることが明らかになった。紛争において女性はしばしば敵による暴力の標的となってきたが、「保護者」の手によって被害を受けることもあり、リベラルなフェミニストの「戦う権利」の主張を実際に損なう可能性がある。,A
国際金融機関（IFI）としての世界銀行と国際通貨基金は、貧しい国々の発展にどのような影響を与えてきたか?,世界銀行とIMFが提唱する金融政策は、自国の経済発展を裕福な国々と同等にしようとする発展途上国によって容易に採用された。IFIの焦点は、人間の安全保障の達成と社会レベルでの開発促進にあった。,世界金融機関の要請で採用された特定の金融政策の実施を通じて、多くの発展途上国が経済的繁栄とそれに伴う人間の安全保障のレベルを獲得した。,世界銀行とIMFは、主要な金融機関と裕福な国家のみを含む経済舞台で活動する傾向がある。主権の尊重と相まって、このような機関の範囲は国政への干渉には及ばない。,IFIは、途上国の経済的失敗は政治的問題の結果であると認識した。そこでIFIは、途上国の政治的・経済的再編を含むアプローチを採用し、債務返済と経済発展を促進するよう設計された特定の金融政策を採用するよう政府に強制した。,D
証券化できないのは、どのような場合か?,一般市民が、提案された脅威の正当性に納得していない場合。,プロセスの言説的要素に従って、特別な措置が実施されない場合。,特別な措置を実施する特別な権利が、証券化する主体に与えられていない場合。,聴衆が、言論行為または証券化行為者を通じて納得したが、提案された脅威に対処するために要求された特別な権利をその行為者に付与しなかった場合。,C
欧米で強制外交を適用する際の実際的な問題点は何か?,敵対国の性格の違いが、西側の強制力の行使を複雑にしている。非正規または非対称の軍事戦略に依存する傾向があるため、相手の軍事戦略を脅かしたり、打ち負かすことさえ難しい。こうした当事者らは、部隊に、わずかなコストで迅速に勝利する能力を否定する。,技術と通信の革命に伴ってもたらされた検証能力の向上は、実務家にとって実際的な困難をもたらし、戦術的/一時的および戦略的/永続的な検証を可能にしたが、後者のみがコンプライアンスの成功を構成する。 プロセスを検証する能力は、決定的でない強制的な外交交流の後に遵守されなかった事例を浮き彫りにしている。,協調的強制外交は、西側民主主義諸国が敵対国の心に武力による威嚇を現実のものとするために必要な誠意を得るための唯一の信頼できる手段である。しかし、過去の連携構築の努力は極めて限定的なものであった。政策の手段や調整をめぐる意見の対立がしばしば分裂を招き、その結果、各国はこの方法を採用したがらない。採用されたとしても、その不適切さの重圧に耐えかねて崩壊してしまう。,これらすべての選択肢。,A
一部の政府政権は自由主義陣営に完全に加わることに消極的であるが、この消極的な理由のうち妥当でないものはどれか?,西洋イデオロギーの支配は、現代の帝国主義とみなすことができる。,自由主義は、すべての政治体制が共有するわけではない特定の価値観の強制を提唱している。,協調が繰り返される恐れがある。,リベラリズムに固執しても、国家体制が国民より有利に扱われることを保証するわけではなく、他の国家は、社会の安全を確保するための努力において、体制の安全保障を脅かす可能性がある。,C
ポスト構造主義を異なる研究分野とするテーマと、それが批判される理由は何か?,批判的安全保障研究の創始的な前提のひとつは、世界に関する理論がその世界を構成し、したがって、安全保障理論を含む理論は政治的効果を持つというものである。その結果、理論はシステムの産物であり、安全保障の主体や参照対象の分析は、それ自身の実践によって生み出されるということ。,ポスト構造文学の政治的・批評的性質の中心は、民主主義の精神と、有限で到達可能な批評のエートスを育成するという考え方である。この目的のために我々は努力しなければならないが、それは真の民主主義という規定された条件の下でのみ達成できるもの。,批判の中心的な概念は、批判的であることが何を意味するかという問題に対する答えを提供することである。 このことは、社会変革を目的とした知識主張の背後にある関心を明らかにするという問題を常に提起している。すなわち、理論の終わりとして受け入れられていること、すなわち、実際的で文脈的な理解は、知識主張が誰に役立つかを知らせるという問題。,ポスト構造主義は、安全保障研究の議論を支配する知識主張の形式と基礎を受け入れている。 このため、それは批判的な研究コミュニティと対立し、知識が構築される方法の理解にほとんど貢献していない。,A
HMパラダイムにおいて、資本主義はどのように定義され、あるいはみなされているのか?,HMは、資本主義が労働者や労働者を無力化し、労働や生産をコントロールする能力を資本家によって奪われることで、極度の不安を生み出すと考える。,HMは資本主義経済圏は非政治的であるという自由主義者や現実主義者の主張は、選挙で選ばれたわけでもない資本家エリートの利益に奉仕する誤った表現であると考える。,HMは、資本家が労働の副産物として剰余価値を蓄積することは、その価値がもともと生産された労働者からの搾取であると考える。,これらすべての選択肢。,D
批判的安全保障研究における構成主義とポスト構造主義に対するブースの態度を最もよく表している記述はどれか?,ポスト構造主義は政治的行動の基礎を提供せず、見せかけの急進主義、相対主義、曖昧主義の危険な混合であり、一方構成主義は、特定の政治理論というよりは、世界政治への志向である。,構成主義は、批判的安全保障研究に適用できる具体的な政治理論を数多く提供しているが、そのどれもが安全保障研究に必要な持続可能性を欠いている。ポスト構造主義の理論も同様に、CSS研究者が望む耐久性に欠けている。,ポスト構造主義と構成主義は、政治的方向づけと表現した方がよいような、定義が曖昧な理論であり、漠然とした言葉では当てはまるが、現代の安全保障研究の研究者が必要とする実質を欠いている。,構成主義は政治的イデオロギーの混合であり、急進主義と相対主義の要素を組み合わせた危険すぎるものである。ポスト構造主義は、具体的で応用可能な政治理論というよりは、世界政治への志向である。,A
批判的安全保障研究とは何か?,安全保障研究の既成の正統性に批判的知識を適用する安全保障へのアプローチ。,明確に定義された主体、脅威、プロセスを特定する具体的な安全保障理論。,コペンハーゲン安全保障学派の副称。,国家、軍事、伝統的安全保障の決定的重要性を維持する安全保障研究。,A
安全保障化のプロセスはどのように完了するのか?,安全保障化のプロセスとは、政治領域に含まれていない問題が政治化され、政治システムの中で管理されることである。安全保障化された問題は、政府の行動を必要とする公共政策の一部となり、意思決定、資源配分、さらには共同体の統治に至る。,安全保障化する主体は、政治的領域の外にある問題を安全保障化すると主張することができる。実存的な脅威は、それが公的な議論に含まれていなくても、国家の関心事とすることができる。安全保障化とは、脅威が政治的プロセスの中で顕在化する前に、その脅威を認識することである。,安全保障化とは、問題が政治化された状態から、意思決定活動という通常の政治領域を超えて、政治の強化された状態に移行することを指す。一旦政治的領域の上位に置かれた問題は、通常の手続きを超えた国家的利益に変換されたため、公的領域に戻すことはできない。,問題は、政治化された領域から安全保障の領域へと移されることによって、安全保障の問題として位置づけられ、安全保障化される可能性がある。安全保障化のプロセスにおいて、安全保障化する行為者は、言説を用いて、目下の問題が緊急かつ優先すべきものであり、何らかの参照対象にとって存立の脅威をもたらすものであることを聴衆に説得する。,D
次のうち、グローバリゼーションがもたらす有益な成果とされていないものはどれか?,富の再分配、より大きな「相互連結」の感覚を通じて、世界全体の経済的・資源的配分の格差に対処する。,グローバルな共同体意識が高まり、その結果、国民が互いに親近感を抱くことによって、超国家的なアイデンティティが生まれる。,医療の進歩など、人間の安全保障に直接役立つアイデア、技術、資源の共有。,放っておいても貧困を削減し、大きな経済的利益をもたらす能力を実証したグローバル市場。,A
特別な措置は、どのように「特別な」または「特別な」措置と定義されるか?,国家が武力や暴力を行使する場合、これは特別な措置とみなすことができる。,安全保障上の存亡の危機に対応するためにとられた措置は、特別な措置と定義できる。,政治的領域の通常のパラダイムの外に存在する措置。,これらすべての選択肢。,C
安全保障化のプロセスにおいて、言語はどのような役割を果たすか?,ある問題を安全保障の言葉を使って明確にすることで、その問題は推論的な政治領域から安全保障領域へと移行する。,発言行為は、安全保障の2段階プロセスの終着点であり、この時点で、実存的脅威の正当性が確立され、脅威に対処するために特別な手段を採用する権利が安全保障化行為者に付与される。,ある問題を参照対象の生存を脅かすものとして提示することは、発話行為と呼ばれる。安全保障化のプロセスは、この発話行為の明確化によって構成され、それゆえ、言説モデルと呼ばれる。,ある問題を安全保障上の脅威として明確化することは、発話行為と呼ばれる。この発話行為は、安全保障の行為者によって聴衆に提示される。この行為者は、特定の参照対象に対する実存的脅威として、その問題の信憑性を聴衆に納得させようとする。これが成功すれば、聴衆は納得し、安全保障に関わる行為者は、その脅威に対して特別な手段を合法的に用いることができる。,D
構成主義に対する批判として、これらのうち広く主張されていないもの、あるいは妥当でないものはどれか?,構成主義には、その理論を実験的に証明する能力が欠けている。,構成主義の合理主義的基盤は、変化する国際システムの中でその理論を適用することを困難にしている。,国家を最も重要な行為者とみなすことによって、構成主義はグローバル化した世界における国際化を軽視している。,因果関係を否定しているにもかかわらず、構成主義者は因果関係の物質的な引き金を単に観念に置き換えているだけ。,B
テロリズムの定義はどのような方法で得られるか?,テロ攻撃とは、政治的目的を達成するために組織的暴力の威嚇や使用を用いるものである。これには誘拐や金銭的利益のための組織的暴力が含まれ、そのような攻撃は集団または個人によって行われる。,求められる政治的目標をもたらすキャンペーンを成功させるためには、組織化が不可欠である。テロ行為は、直接的な被害者以外にも広がる聴衆を標的としており、弱者の武器であるという特徴がある。,テロリズムによる暴力は心理戦の一形態であり、その集団のメンバーを攻撃することで、標的の聴衆に恐怖を生じさせる。選ばれた標的は、政治的代表者、治安部隊、民間人、法執行機関に至るまで、国家内の集団の断面から無作為に選ばれる。無作為の暴力行為は、不安感や社会の不安定さを助長する。,テロリズムは広範な概念であり、政治的目的の達成のための組織的暴力の脅威または使用を示すと理解されている。したがって、この定義には、標的または加害者としての政府、およびテロとテロ対策がいずれかの側の戦術である戦争（熱戦と冷戦）のケースを含めることができる。,B
社会構成主義的アプローチは、軍事化のプロセスをどのように説明するか?,安全保障を社会的に構築された概念とみなすことで、構成主義者は、何が安全保障上のリスクであるかの概念を支える価値観や文化的規範の共有に基づく政府の決定の結果として、軍事化が起こると主張する。したがって、政府によって脅威の認識も反応も異なる。,社会構成主義者は、研究対象として軍事よりもむしろ人々に焦点を当てる傾向があるため、軍事化のプロセスを人間の安全保障に与える影響という観点から大きくとらえる。,社会構成主義者は、そのプロセスは経験的に定義可能な脅威に対する民衆の認識に従っていると主張する。ある問題が現実的で有効な脅威をもたらすと認識されたとき、それは軍事化を正当化する。,人間の安全保障を一様に提唱し、安全保障研究に人間中心のアプローチを採用する社会構成主義者は、軍事化をより広範な安全保障目標の達成に有害なプロセスとみなし、安全保障システムの非軍事化を積極的に奨励する。,A
