"問題は以下の内容に関するものである。
次の政令を読みなさい。
出版法
この政令が有効である限り、日刊の形で、または20枚を超えない印刷物として連載される出版物は、州当局の事前の知識と承認がなければ、連邦のどの州でも出版してはならない。上記の分類のいずれにも属さない著作物は、連邦の各州において現在施行されている、または制定される可能性のある法律に従って取り扱われるものとする。…連邦の各州は、他州の名誉もしくは安全が侵害され、または他州の憲法もしくは行政が攻撃されるような、その監督下にあるすべての出版物について、その違反が直接行われた州に対してだけでなく、連邦全体に対して責任を負う。…
—ドイツ連邦が採択したカールスバード決議（1819年）
カールスバート決議は、ヨーロッパ協商と同じくメッテルニヒの構想のひとつであるが、次のどれを達成することを目的としていたか?",啓蒙主義の伝統にのっとった民主主義によって、ヨーロッパ諸国の統制を確立する。,自分以外の政府のあらゆる声を抑圧し、市民生活のあらゆる側面を支配する。,ヨーロッパ全土の民族主義革命を弾圧する。,君主と彼らが承認する教会以外のすべての言論を弾圧する。,C
"問題は以下の内容に関するものである。
ロシアでは何事もうまくいっておらず、（スヴァーリンは）受け取った知らせに絶望していた。昔の仲間たちはみな政治家になっていた。ヨーロッパを震え上がらせた有名なニヒリストたちは、村の司祭や下層中産階級、商人の息子たちであり、民族解放の理念から脱することができず、専制君主を殺せば世界は救われると信じているようだった…
「愚かな！その愚かさでは、決して抜け出せないだろう」。
そして、さらに声を低くして、いくつかの苦い言葉で、友愛という昔の夢を語った。彼は地位も財産も捨て、労働者たちの中に入っていった。ただ一つ、労働者による共同の新たな社会の設立を最後に見届けるという望みのために。彼の所持金のスーはすべて、とうの昔に集落の浮浪児のところに行ってしまった。彼は、坑夫たちに兄弟のように優しく接し、彼らの疑念に微笑み、静かな労働者らしいやり方とおしゃべりを嫌うことで彼らを味方につけた。しかし、断じて融合は起こらなかった。
彼は声を変え、目を輝かせ、エティエンヌにまっすぐに話しかけた。
「わかるかい?マルセイユの帽子職人たちは、宝くじで10万フランの大当たりを引き当てると、すぐに姿を消してそれを投資して、何もせずに生きていくと宣言したんだ！そう、それが君たちフランス人労働者の考えなのだ。君たちは宝を発掘し、その後、怠惰で利己的な人目につかない場所でそれを独り占めしたいのだ。金持ちを非難するのはいいが、運が運んできた金を貧乏人に返す勇気はない。君たちは何もかも自分のものにしなければ幸福になれないのだ。ブルジョワに対する憎悪は、彼らの代わりに自分もブルジョワになりたいという怒りに満ちた願望から生じているにすぎない」
エミール・ゾラ（フランスの作家）『ジェルミナル』（1885年）
最初の段落で言及されたアナーキズムとして知られる急進的な運動に関係がないものはどれか?",国際労働者協会,ピエール＝ジョゼフ・プルードン,ウィーン会議,パリ・コミューン,C
"問題は以下の内容に関するものである。
以下の資料を読みなさい。
資料1
もし機械の使用によって、我々が輸入し、他国から供給され、どこでも同等の条件で調達できる品目である綿の生産が、このような驚くべき成功を収めたのであれば、自国の島の産物であり、あらゆる国で需要があり、人類のほとんど普遍的な衣料品である羊毛の生産を最大限に発展させることによって、より大きな利点が合理的に期待できるのではないだろうか。
羊毛の生産において、混紡機、精紡機、フライシャトルは、手作業の労働力をほぼ3分の1に減少させ、そのそれぞれが最初に導入されたとき、労働者に警鐘を鳴らした。にもかかわらず、そのそれぞれは賃金の上昇、取引の増加に貢献したため、もしその使用を阻もうとすれば、事業に従事する人は間違いなくそれらを守ろうと必死になるだろう。
—リーズの布商人による声明（1791年）
資料2
集まれ、名高き農夫の男たちよ、
茶色のうまいエールを飲むのが大好きな者たちよ、
傲慢な暴君をみな打ち倒すのだ、
斧、矛、銃で！
ああ、農夫の男たちは私のために、
勇猛な男たちは私のために、
苛烈な一撃で、
剪毛機を打ち砕いた者たちよ、
農夫の男たちは私のために！
構うものか、特殊部隊はまだ前進する、
兵士たちは夜ごと私たちを囲んで跳ね回る
農夫の男たちはまだ踊りをリードしている、
斧、矛、銃で！
ああ、農夫の男たちよ、私のために、
勇猛な男たちよ、私のために、
苛烈な一撃で
剪毛機のフレームを打ち砕いた者たちよ、
農夫の男たちよ、私のために！
—ラッダイト運動の唄『The Cropper's Song』（1812年頃）
上記資料1が機械の拡大と利用の支持について参照している経済理論はどれか?",自由放任資本主義,重商主義,工業化,重金主義,B
"問題は以下の内容に関するものである。
「ヨーロッパには共産主義の亡霊が取り憑いている。この亡霊を追い払うためにヨーロッパの全権力が神聖同盟に加わった。教皇と皇帝、メッテルニヒとギゾー、フランスの急進派とドイツの秘密警察である。
この事実から2つのことがわかる。
I. 共産主義は、すでにすべてのヨーロッパの権力者たちによって、それ自体が権力であると認められている。
II. 共産主義者は、全世界を前にして、自分たちの見解、自分たちの目的、自分たちの性向を公然と発表し、共産主義の亡霊というこのおとぎ話に、党そのもののマニフェストで応えるべき時が来ている。」
カール・マルクス、フリードリヒ・エンゲルス『共産党宣言』（1848）
この箇所で、マルクスとエンゲルスは主にどのような考えにとらわれていたと考えられるか?",読者を行動に駆り立てるために恐怖を引き起こすこと,運動全体の勢いを弱める恐れのある極端な共産主義者を攻撃すること,事実の点で、他の人々の理解を実証すること,共産主義の反対者を論破する動機を説明すること,D
"問題は以下の内容に関するものである。
軍隊の司令官や事業のリーダーと同じように、家庭の女主人も同じである。彼女の精神は施設全体を通して見られるものであり、彼女が自分の職務を知的かつ徹底的に遂行するのに比例して、家政婦たちも彼女の後を追うようになる。特に女性的な性格に属する教養の中で、私たちの評価において、家事に関する知識を身に着けることほど高い地位を占めるものはない。
イザベラ・ビートン『ビートン夫人の家政読本』（1861年）
この文章から、ビートンの本の主題は何であったと推測されるか?",陸軍連隊における女性の役割,家事使用人のための学校の運営,女学校の運営,家庭を運営する女性の役割,D
"問題は以下の内容に関するものである。
「まず、宇宙の形が球形であることに注目しなければならないが、その理由の一つは、この形が継ぎ目を必要としない完全な全体で、あらゆるものの中で最も完全であるからであり、またその理由の一つは、この形が最も容量が大きく、あらゆるものを収容し保存するのに最も適しているからである。あるいはまた、宇宙の構成要素、すなわち太陽、月、惑星が同じ形をしているからであり、さらには水の雫などの流体が自らを定義しようとする際にそうであるように、あらゆるものがこの形を得ようと努めているからである。そのため、この形が天球に属することを疑う者はいないだろう。…
地球もまた球形であることはそれ故に疑う余地がない。なぜなら、地球はあらゆる側から中央に向けて圧力をかけられているからだ。山の高さや谷の窪みのために、完全な円であるとは捉えられないが、それでも地球の一般的な球状の性質には影響しない。…
地球が球体の形をしていることはすでに示されているため、運動もこの形と一致するかどうか、地球が宇宙の中でどのような位置を占めているかを考えなければならない。… もちろん、大多数の著者は地球が宇宙の中心で静止しているという見方で一致し、その反対を仮定することはありえないし、馬鹿げていると考えている。しかし、この問題を注意深く考えてみれば、この問題はまだ決着がついておらず、決して軽んじられるべきものではないことがわかるだろう。観察される場所の変化はすべて、すなわち、観察される物体か観察者の動き、あるいはその両方の動きによるものである。… 今、天の回転が観察されるのは地球からであり、それは私たちの目に対して生じているものである。したがって、もし地球が動いていないのであれば、地球の外側のすべてのものに、地球上のあらゆるものが動いた場合とは逆方向に向かってこの動きが起こるはずであり、この種のものが毎日の公転である。つまり、これは全宇宙、つまり地球そのものを唯一の例外とする地球の外側のすべてのものに影響を及ぼすように見える。しかし、もしこの動きが天界に特有のものではなく、地球が西から東へと公転していることを認めるべきであったとして、その上で太陽、月、星の見かけ上の昇り降りについて注意深く検討してみれば、これが本当の状況であることが判明するだろう。」
ニコラウス・コペルニクス『天球の回転について』（1543年）
この文章から、コペルニクスの球状宇宙論は何に基づいていると言えるか?",観察と帰納法,古文書の権威,実験,第一原理からの演繹法,A
"問題は以下の内容に関するものである。
「1839年5月10日、バッキンガム宮殿。
女王は、ここ最近の4日間でどれだけ多くのことをしなければならなかったかを考慮すると、もし火曜日にグロスター・ハウスでのパーティ、水曜日に古楽のコンサート、木曜日にノーサンバーランド・ハウスでの舞踏会に出かけるとしたら、本当に疲れてしてしまうのではないかと恐れている、とケンブリッジ公爵に手紙を書いても問題はないかメルボルン卿に尋ねるのを忘れていた。水曜日に古楽のコンサートに行き、月曜日にはここで自分のコンサートを開くとしたら、4晩の疲労となり、女王は本当に疲れ果ててしまうだろう。
しかし、メルボルン卿が、エンシェント・コンサートには英国人歌手しか出演しないのだから、女王は行くべきだとお考えなら、1幕だけ出演することは可能である。ただし、気の重くなる時間であるため、できれば参加したくないと女王は思っている…。
トーリーとの交渉はほとんどまとまり、メルボルン卿も来訪しているので、女王はメルボルン卿が日曜日に彼女と食事をすることに反対しないことを望んでいる。」
『ヴィクトリア女王書簡、第1巻（全3巻中）1837-1843年：1837-1861年女王陛下書簡選集』
これと同様の貴族の間の接待好きが最も常軌を逸するまでになったのは次のうちどの時代か?",16世紀のスペイン,17世紀のオランダ,18世紀のフランス,19世紀のプロイセン,D
"問題は以下の内容に関するものである。
以下の一組の抜粋は、探検家クリストファー・コロンブスとメキシコ・チアパスのドミニコ会司教バルトロメウ・デ・ラス・カサスによって書かれたものである。
資料1
インディアスは売り手が要求するものは何でも与えた。…こうして彼らはばかみたいに綿や金を、弓やグラスやボトル、瓶の破片と物々交換した。私はそれを不当であるとして禁じ、私自身は持参した多くの美しい品々を彼らに与えて見返りには何も貰わなかった。それは、彼らがキリスト教徒になり、国王と王妃、王子たち、そしてすべてのスペイン人に敬意を抱くよう懐柔するためであり、また、彼らが豊富に所有しているが、私たちが非常に必要としているものを探し出し、集め、私たちに届けることに関心を持つように仕向けるためであった。
—クリストファー・コロンブス『ラファエル・サンチェス宛書簡』1493年
資料2
この穏やかな子羊たちに目をつけたのは…彼らが子羊たちを見つけた最初の日からで、スペイン人はひどく飢えた狼か、あるいは何日も肉を食べていない虎や野蛮なライオンのように子羊の群れに襲いかかった。最初に確立されたパターンは変わらないまま今も残っており、いまだにスペイン人が行っているのは、原住民をズタズタに引き裂き、殺害し、数え切れないほどの悲惨と苦しみと苦痛を与え、容赦なく拷問にかけ、蹂躙し、迫害することのみである。この目的のために彼らが発明し、洗練させた数々の独創的な拷問方法については、いずれ述べることにするが、数字を見るだけでもこの方法がいかに効果的であったかは大体お分かりいただけるだろう。スペイン人が初めてイスパニョーラ島を旅したとき、イスパニョーラ島の先住民の人口は300万人ほどだったが、今ではわずか200人しか残っていない。彼らがこのように莫大な数の魂を殺し、破壊する理由は、キリスト教徒には究極の目的があるからだ。それは黄金を手に入れ、ごく短期間で富を膨らませ、その結果、彼らの功績に不釣り合いな高貴な地位に上り詰めることである。
—バルトロメ・デ・ラス・カサス『インディアスの破壊についての簡潔な報告』（1542年）
デ・ラス・カサスが資料2の中で最も重要だと考えている探検の動機はどれか?",原住民をキリスト教に改宗させること,経済的利益,個人的栄光,新しい仲間を見つけること,A
"問題は以下の内容に関するものである。
長い間、教養あるドイツ人はこの問いに肯定的に答えてきた。当初はドイツの特別な使命を主張し、1945年の崩壊後はドイツの西側からの逸脱を批判した。今日では、否定的な見方が優勢である。現在主流となっている意見によれば、ドイツは「ドイツ独自の道」を語るに値するほどヨーロッパの大国と異なってはいなかった。いずれにせよ、「普通の道」と言えるような道を歩んだ国は地球上に存在しないのである。
ハインリヒ・アウグスト・ヴィンクラー『Germany: The Long Road West』第一巻、2006年
この文章から、ドイツが歴史上独自の使命を担ってきたという信念はどのようなものであると言えるか?",ドイツの第二次世界大戦での敗戦によってもたらされた,ドイツの第二次世界大戦での敗戦によって影響を受けなかった,ドイツの第二次世界大戦での敗戦によって正しいことが証明された,ドイツの第二次世界大戦での敗戦によって信用されなくなった,D
"問題は以下の内容に関するものである。
私は、廷臣の主要かつ真の職業は武術であるべきだと考えている。私は、廷臣には何よりも積極的に武術を追求し、大胆で強く、誰に仕えようと忠誠を尽くす者として、他の人々の間で知られるようにしたい。…
私は彼の体格をよく鍛え、四肢の形を整え、強さと軽さとしなやかさを発揮させ、武人にふさわしいあらゆる身体運動を身につけさせたいと考えている。そのためには第一に、馬に乗って使うものとそうでないもの、あらゆる種類の武器を取り扱い、それぞれの利点を理解すべきであり、特に紳士たちが通常使用する武器に慣れておくべきである。…
そうすれば、我らが廷臣は優秀であると評価され、あらゆること、特に会話において優美さを獲得するであろう。…
私は彼に少なくとも、人文学と呼ばれる学問においては、学識を十二分に習熟させ、ラテン語だけでなく、ギリシャ語にも通じているようにさせる。これはそこに見事に記された多くの異なるものごとを知るためである。詩人、弁士、歴史家にも精通させ、詩や散文、特にわれわれの俗（土）語にも習熟させなさい。…
廷臣が音楽家であり、音符を理解し、読むことができるだけでなく、さまざまな楽器を演奏することができなければ、私は満足しない。…
私は廷臣に、嘘つきや自慢屋という汚名を着せられないようにと願っている。時としてそれに値しない者にまで汚名が着せられることがあるからだ。
—バルダッサーレ・カスティリオーネの『宮廷人』（1528年）より
カスティリオーネが廷臣に勧めている次の技能のうち、20世紀末のヨーロッパの紳士に最も評価されないであろうものはどれか?",複数の言語に精通していること,強く魅力的であること,多くの種類の武器に精通していること,詩や散文を書く能力,C
"問題は以下の内容に関するものである。
人間がなぜあらゆる生き物の中で最も幸運であり、その結果あらゆる賞賛に値するのか、ようやく理解できたような気がする。…他のすべての生き物の性質は限られている。…想像してみてほしい！神の寛大さを！人間の幸福を！人間には、何であろうとその人のあり方を選ぶことが許されている！
ピコ・デラ・ミランドラ『Oration on the Dignity of Man』（1486）
この文章から、ピコはどの文化運動に参加していたことがうかがえるか?",ルネサンス,宗教改革,科学革命,啓蒙主義,A
"問題は以下の内容に関するものである。
「スコラ学者であったアリストテレスがプラトンに取って代わられたのは、ビザンティンの学問との接触によって早まった。東方教会と西方教会を名目上統一したフェラーラ＝フィレンツェ公会議（1438年）ではすでに、ビザンティン側がアリストテレスに対するプラトンの優位性を主張する論争が行われていた。コジモとロレンツォ・デ・メディチはともにプラトンに傾倒し、コジモがプラトン・アカデミーを創設し、ロレンツォが引き継ぎ、プラトンの研究に専念した。…しかし、当時の人文学者は古代の知識を習得するのに忙しいあまりに、価値のあるものは何も生み出せなかった。」
バートランド・ラッセル（イギリスの哲学者）『西洋哲学史』（1946年）
この文章が20世紀の哲学者や思想家の見解を最もよく例証しているのはどのような点か?",かつてない数の社会的・技術的変化に直面した20世紀は、イノベーションを人生の最も価値ある特性のひとつとして受け入れた。,かつてない数の社会的・技術的変化に圧倒された20世紀は、過去の長年の伝統に逃げ込もうとした。,第一次世界大戦と第二次世界大戦の惨禍によって、人生に統一的な意味を見出す可能性がなくなった後、哲学者たちは過去の思想家たちの哲学の間に小さな違いを見出すことで精一杯になった。,ニヒリストは一般的に、自分より前に現れた人々の定説を疑う方法を見つける。,A
"問題は以下の内容に関するものである。
ユダヤ人として、私は集団的罪を信じたことはない。罪を犯した者だけが有罪なのだ。
殺人者の子どもは殺人者ではなく子どもである。私には、ヒトラーの世代が犯した言語に絶する犯罪について、今日の世代を裁く気持ちも権限もない。
しかし、私たちは過去に対してではなく、過去を記憶する方法に対して責任を持つことはできるし、そうしなければならない。そして、過去の記憶を使って何をするかについても。記憶することで、あなた方は自国民がその歴史を覆う亡霊を打ち負かす手助けをすることになる。忘れてはならないのは、死者と折り合いをつけないコミュニティは、生者にトラウマを与え続けるということだ。
私たちがアウシュビッツとそれが象徴するものすべてを記憶するのは、過去とその恐怖にもかかわらず、世界は救済に値すると信じるからである。そして、救済は贖罪と同じように記憶のなかにしか見いだせない 。
エリー・ヴィーゼル『ある生存者の回想』（1987年）
この文章から、現在のドイツ人の世代についてヴィーゼルはどのように考えていると捉えることができるか?",ホロコーストに対する祖先の罪悪感を共有している,ホロコーストを記憶する責任がある,ホロコーストに対する責任を共有している,ホロコーストに関しては何の責任もない,B
