マグナ・カルタとは、次のうちどのような文書であったか?,議会における言論の自由を保障した1689年の協定,臣民の一定の保護を保証した1215年の国王と男爵との協定,選挙権を保証した19世紀の憲法文書,イギリスの完全な権利章典を定めた,B
個人（自然）人は、国家や国際組織と同様に国際法的人格を享受するか?,個人は国際法的人格を享受するが、それは限定的,個人は無制限の国際的法的人格を享受する,個人はいかなる国際的法的人格も享受しない,個人は国際裁判所に対してのみ請求することができる,A
紛争を平和的に解決する様々な方法の間に、序列や優先順位はあるか?,はい、法的手段に訴える前に、政治的手段（交渉、調停、照会、調停など）をすべて使い果たすべき,法的手段は当事国を拘束するため、政治的手段よりも優先される,これらの手段に序列はなく、選択は紛争当事国に属する,どの手段が他の手段よりも優先されるかは、公平な第三者が決めること,C
次の記述のうち、間違っているものはどれか?,1990年代には、欧州人権裁判所が十分な事例を調査していなかったため、改革しなければならなかったことが明らかになった。,1990年代には、仕事量が増加したため、欧州人権裁判所を改革しなければならないことが明らかになった。,1990年代になると、欧州人権裁判所は、増加する申し立てを処理できない時間制の裁判所であったため、改革しなければならなかったことが明らかになった。,1990年代には、加盟国の増加後、欧州人権裁判所にアクセスできる個人の数が増加したため、同裁判所を改革しなければならないことが明らかになった。,D
被害国が利用できる選択肢に関する比例性の意味は何か?,被害国は、侵略者と同じ手段と武力の強さを行使することができる,被害国は、侵略者を打ち負かし、無力化するためにあらゆる手段を行使することができる,被害国は、侵略者を打ち負かすために必要な手段と武力のみを行使することができる,被害国は、安全保障理事会の承認がない限り、何もすることができない,C
通常の管轄区域は地理的にどのようなものか?,管轄は通常、域外的,管轄は通常公海にある,管轄は通常、領土的,管轄は犯罪者の所在地によって決定される,C
国際法の正式な情報源はどれか?,慣習、条約、司法判断,慣習、法の一般原則、理論,条約、慣習、法の一般原則,条約、慣習、総会決議,C
海洋法における基線の目的は何か?,基線の決定は、沿岸国の内水面を測定するために使用される,基線の決定は、各海域の幅を測定するための出発点となるため、すべての海域の設定に役立つ,基線の決定は、公海上の船舶の安全な航行に役立つ,基線は、国際裁判所または法廷において、対立する国家間の海洋境界画定にのみ引かれる,B
調停と仲介の違いは何か?,調停とは、調停が拘束力のある結果をもたらすのに対し、仲介はそうではないという違いを持つ仲介の継続。,調停は国連事務総長の代表のみによって行われるが、仲介は第3国の職員によって行われることもある。,仲介は通常、当事者の同意を得て任命された者によって行われるが、調停には委員会が関与し、委員会は紛争の公平な審査に進み、和解条件を提案する。,調停は、条約によってのみ追求される紛争解決の方法であるが、仲介は、その場限りで行うこともできる。,C
オスマン対英国裁判（1998年）において、欧州裁判所は、国家に対する一般的な積極的義務を適用するために使用できるテストを定めた。次の記述のうち、オスマン・テストに含まれないものはどれか?,そのリスクは国家の代理人から発せられたものでなければならない,（死亡／危害の）現実的かつ差し迫ったリスクがある場合,国家は死亡／危害の発生を防止するために合理的な措置を講じるべき,国家は知っているか、または知っていたはず,A
国際司法裁判所（ICJ）の勧告的意見を要求できるのは誰か?,国連の主要機関のみが勧告的意見を要求できる（安全保障理事会、総会、ECOSOC、信託統治理事会、事務局）,すべての国際機関が勧告的意見を要求できる,総会および安全保障理事会は、あらゆる法的問題についての勧告的意見を要請することができる。同様に、「総会によっていつでもそのように授権され得る国際連合の他の機関および専門機関も、その活動の範囲内で生じる法的問題についての裁判所の勧告的意見を要請することができる」,国連の主要機関は、総会によって承認された国家と同様に、勧告的意見を要請することができる,C
普遍的管轄権の目的は何か?,その目的は、特定の違反を普遍的なものとして確立すること,その目的は、特定の国際犯罪の実行を抑止すること,その目的は、特定の犯罪に関してすべての国に裁判権を提供すること,その目的は、すべての国際犯罪に関してすべての国に裁判権を提供すること,C
国家機関のすべての行為は、国際責任法上、国家に帰属するのか?,いかなる国家機関の行為も、その行為が無権限または権限を踰越した場合であっても、その国の行為とみなされる,国家政府の上層部の行為のみが、その国に帰属する,いかなる国家機関の行為も、それが権限内であることを条件として、その国の行為とみなされる,国家の行政機関の行為のみが、その国の行為とみなされる,A
条約法に関するウィーン条約（VCLT）によると、「条約」とは何か?,条約とは、国家、国際機関、非国家主体（企業など）の間で締結されるすべての協定,条約とは、文書形式で国家間で締結され、国際法に準拠する協定,条約とは、国家間で締結される文書形式および口頭形式の協定,条約とは、国家間で締結され、国際法または国内法に準拠する文書形式の協定,B
X国の大臣が海外で行った不法な殺人は、jure imperii または jure gestionis のどちらの行為か?,そのような行為は公的行為（jure imperii）,そのような行為は免責を受けることはない,そのような行為は私的行為（jure gestionis）,そのような行為は公的行為であるが、免責によって保護される,C
アル＝アドサニ事件における欧州人権裁判所の結果は?,当裁判所は、公正な裁判を受ける権利が免責特権に優先すると判断した,当裁判所は、免責特権が公正な裁判を受ける権利に優先すると判断した,当裁判所は、免責特権は公正な裁判を受ける権利と相反するものではないと判断した,当裁判所は、人権への配慮が、ほとんどの免責特権を含む国際法の他のすべての相反する規則に優先すると判断した,C
バディンター委員会が旧ユーゴスラビア共和国に課した他の基準は何か?,委員会は、国際司法裁判所に紛争を付託することを約束することを求めた,委員会は、境界を変更することを求めた,委員会は、人権と民主主義を尊重することを求めた,委員会は、民族交流を求めた,C
条約はどのように解釈されるか?,条約は、その文脈上および条約の目的・趣旨に照らして、条約条項に与えられる通常の意味に従って誠実に解釈される,条約は、その条項の通常の意味に従ってのみ解釈される,条約は、条約の準備作業において証明された締約国の意図に従って解釈される,条約は、その目的・趣旨に照らしてのみ解釈される,A
沿岸国は、自国の港にある外国船舶に対して刑事裁判権を行使するのはいつか?,寄港国は一般に、自国の関税法令を侵害したり、平和や公の秩序を乱したりしない犯罪に対して刑事裁判権を行使しない。,寄港国は、すべての非行船舶についてその管轄権を行使する,寄港国は、薬物取引のような非常に重大な犯罪に関してのみ管轄権を行使する,寄港国は、いかなる外国船舶に対してもその管轄権を行使する権利を有しない,A
国際法の「源泉」としての国連総会決議の価値は何か?,総会決議は国際法の追加的な源泉とみなされ、したがって各国を拘束する,総会決議は条約と同等,総会決議は常に慣習法を反映する,総会決議は、慣習法の記述を宣言するという意味で、重要な源泉とみなされる,D
条約は第三国、すなわち非国家当事者を拘束するか?,条約は、第三国に対して権利のみを生じさせることができる,条約は、第三国に対して義務と権利の両方を生じさせる,条約は、第三国の同意がなければ、第三国に対して義務も権利も生じさせない,条約は、第三国が同意した場合でも、第三国に対して義務も権利も生じさせない,C
次の条文のうち、資格のない権利はどれか?,第3条,第8条,第9条,第11条,A
二元論とは何か?,二元論では、国際法と国内法は統一された法体系の一部とする,二元論では、国際法と国内法は別個の法体系,二元論では、国際法と国内法は別個であるが、階層的には同等とする,二元論では、国際法と国内法は別個の法体系であり、国内法が常に優先するとする,B
jure imperiiな行為とは何か?,国際機関による行為は、jure imperii,国家の公式の立場での行為は、jure imperii,国家公務員による行為は、すべてjure imperii,国家法人による行為は、jure imperii,B
国際法の正式な情報源の間にはどのような関係があるのか?,国際法の正式な情報源の間には階層がない,条約は慣習に取って代わる,慣習は条約に取って代わる,法の一般原則は、慣習と条約の両方に優先する,A
湾岸戦争において、国連安保理決議678が国連憲章第51条に基づく集団的自衛行動に比べて特に優れていた点は何か?,決議678は、同盟国が核兵器や化学兵器でイラクを攻撃することを可能にした,決議678は、国連憲章第51条に基づく固有の自衛権よりも狭い,決議678は、採択や交渉がより迅速だった,決議678は、湾岸地域の平和と安全を脅かすいかなる問題に関しても武力行使を認めているため、より広範,D
慣習法は条約の規定とどのように関連しているのか?,条約は慣習法のみを成文化することができる,慣習法は国際的な別の源であり、条約に具体化することはできない,条約は、1）慣習法を成文化する、2）慣習法を「具体化する」、3）慣習法の出現につながる可能性がある,慣習法は少数の多国間条約からのみ生まれ得る,C
国家が主権を持つとはどういうことか?,主権とは、他のすべての国家から承認されること,主権とは、条約を締結したり国連に加盟したりできること,主権とは、外部からの干渉を受けずに自国の問題を決定する自由を意味する,主権とは、自衛権を有することを意味する,C
機能的承認の意味は何か?,承認は権力とは対照的な機能,承認は2つの国家間で相互的,承認は特定の行政行為にのみ与えられるものであり、その団体が宣言した国家資格には与えられない,承認は政府にのみ与えられるものであり、国家には与えられない,C
「国家行為」の原則の意味は何か?,国家行為の原則は、すべての国家行為は免責されることを示している,国家行為の原則は、国家が犯したとされる不法行為の有無に関する評価は、裁判所ではなく行政府に属することを示している,国家行為の原則は、国家が犯したとされる不法行為の有無を裁判所が評価するのに適していることを示している,国家行為の原則は、裁判所が外国の公的行為に対して免責を与えることを可能にする法的メカニズム,B
国際社会の構造はどのように表示できるか?,国際社会の構造は、国内法秩序の垂直モデルを踏襲している,国際社会は、主権国家とその他の国際機関の一団から構成されており、これらは、むしろ水平的な権威秩序の中に分散している,国際社会は、垂直的でも水平的でもない権威秩序が存在しないほど無政府状態,国際社会の構造は、世界で最も強力な国家の構造に似ている,B
英国法における慣習的犯罪の編入に制限はあるか?,慣習的犯罪の編入に制限はない,慣習的犯罪が自動的に編入されるためには、多国間条約に含まれていなければならない,慣習的犯罪を裁判所が自由に国内領域に編入することができる,状況は明確ではないが、おそらく議会法が必要であろう,D
接続水域の機能とは何か?,接続水域は沿岸国の安全水域として機能する,接続水域は沿岸国が鉱物資源を探査・開発できる水域,接続水域は沿岸国が関税法、財政法、出入国管理法、衛生法の違反を防止・処罰できる水域,接続水域は沿岸国が考古学的・歴史的遺物を保護する水域,C
以下の例のうち、国家が積極的な保護義務を負う状況として欧州人権裁判所が展開していないものはどれか?,申請者が国家に拘束されている場合,国家が国家に対する請求を調査しなければならない場合,国家内の人々を保護するための法的枠組みの整備,国家内のすべてのホームレスに住居を提供すること,D
欧州人権裁判所が適用する「評価の余地」の原則の意味を最初に定義したのはどの事件であったか?,グッドウィン対イギリス（2002年）,アイリー対アイルランド（1979年）,オスマン対イギリス（1998年）,ハンディサイド対イギリス（1976年）,D
仲裁廷のメンバーはどのように任命されるか?,仲裁廷の全構成員は当事者によって任命される,仲裁廷の全構成員は当事者によって任命される,仲裁廷の全構成員は、ICJ所長のような公平な第三者によって任命される,仲裁廷の全構成員は、制限された仲裁人リストから当事者によって任命される,A
国際法の絶対的規範は、対世的義務を規定する唯一の規範か?,はい,いいえ、国際機関の行為もそのような義務を定めている,いいえ、国際裁判所の判決もそのような義務を定めている,いいえ、すべての絶対的規範が対世的義務を定めているとしても、後者は客観的な体制を規制する条約や一方的な行為から生じることもある,D
承認の構成理論とは何か?,承認は国家性の決定要因,承認には第三国による憲法上の承認が必要,承認には、承認国の憲法が十分な人権保障を含んでいることが必要,承認を希望する国は、有効な憲法を保有していなければならない,A
市民的及び政治的権利に関する国際規約（および議定書）の実施メカニズムは、次のうちどれから成るものか?,報告メカニズムのみ,国際法廷の判決,個人請願権のみ,報告メカニズムと個人請願権,D
国際法（jure gentium）上の海賊は、普遍的管轄権の対象となるか?,国際法上の海賊は旗国の管轄権の対象となる,国際法上の海賊は普遍的管轄権の対象となる,国際法上の海賊は寄港国の管轄権の対象となる,国際法上の海賊は国籍に基づく管轄権の対象となる,B
自己執行条約とは何か?,自己執行条約は行政府によってのみ採択される,自己執行条約は明確かつ正確であるため、さらなる実施措置を必要としない,自己執行条約は条約自体に規定された実施措置に依存する,自己執行条約は変容の原則に従う,B
ICJは、武力攻撃が、より強度の低い、しかし累積的な一連の武力行使を通じて発生する可能性があるという考え方に敵対的か?,ICJは累積理論に敵対的ではなかった,武力攻撃という概念は、単一の攻撃を指すのであって、複数の小規模な武力行使を指すのではない,ニカラグア事件において、ICJは累積理論を棄却した,ICJはこの問題を扱ったことはない,A
国際裁判所および法廷の中で何か優先事項はあるのか?,リス・ペンデンスの規則によれば、紛争を最初に差し戻した裁判所または法廷は、それを裁定する排他的管轄権を有する,国際司法裁判所は、定義により、他の裁判所又は法廷よりも優先される,国際法にはリス・ペンデンスの規則はなく、すべては紛争当事者の同意に依存するため、国際裁判所および法廷の間には優先順位や階層はない,地方裁判所または特別裁判所は、特別法の原則に従い、他のすべての裁判所よりも優先される,C
第三国は他国の排他的経済水域内で漁業権を享受するか?,沿岸国が「総許容漁獲量」を漁獲できない場合、沿岸国は、発展途上国や内陸国を優先して、その余剰分へのアクセスを他国に提供する,第三国は、他国の排他的経済水域内の漁業に決してアクセスすることはできない,沿岸国は、その排他的経済水域内の漁業へのアクセスを近隣国のみに提供する,第三国は、特定の指定区域を除き、他国の排他的経済水域内で自由に漁業ができる,A
主権免責の目的は何か?,免責の目的は、外国の国家元首を困惑から守ること,免責は、国家を他国からの侵略から守るもの,免責は、国家が他国の法廷で訴えられることを防ぐもの,免責の目的は、あらゆる犯罪について免責を与えること,C
受動的人格管轄権とは何か?,犯罪者の国籍に基づく裁判管轄,犯罪が行われた場所に基づく裁判管轄,被害者の国籍に基づく裁判管轄,法人が登記された国に基づく裁判管轄,C
第一世代の権利と言われているのは、次の権利の種類のうちどれか?,社会的・経済的権利,市民的・政治的権利,文化的権利,人民の権利,B
国際法の「断片化」の問題は何か?,国際法の断片化は、異なる法制度が同じ国際法の規則を適用する可能性に関係する,いくつかの法制度（すなわち、外国投資法と人権法）が互いに孤立して存在し、発展することは可能であり、最終的には、国際法の異なる規則が生み出されることになる,断片化とは、国家が同じ国際法の規則に対して異なる解釈をすること,断片化とは、国家が国際法の特定の規則を遵守することに同意しない場合,B
機能的（事項的）免責とは何か?,機能的免責は人を対象とするが、行為は対象としない,機能的免責は行為を対象とし、付随的に行為を行った人も対象とする,機能的免責は国家を対象とし、付随的に行為も対象とする,機能的免責は、それが国家によって認可されている限り、私的行為と公的行為の両方を対象とする,B
黙示の承認の意味とは何か?,ある国が警告を受けた場合、安全保障理事会は武力行使を承認するという推定,国連安保理加盟国の特定の票数に基づく暗黙の承認,すべての不法な攻撃は、国連安保理の決議によって武力行使の対象となるという推定,不法な攻撃が繰り返される場合、国連安保理は近隣諸国に対し、事態を是正するために必要と考えるあらゆる措置をとる権限を与えるものとする,A
自然権の考え方を「竹馬の上のナンセンス」と呼んだのはどの哲学者か?,アラン・ガーウィズ,エマニュエル・カント,ジョン・ロック,ジェレミー・ベンサム,D
国家の側で条約を締結する権限は誰にあるのか?,条約は国家の権限のある代表者が締結する。国家元首、政府首脳、外務大臣、在外公館長がそのような権限を有すると推定される,条約は国家元首と外務大臣によってのみ交渉され、締結される,条約は必要な「全権」を有する者によってのみ交渉され、署名され、そのような権限を有すると推定される者はいない,条約は国家の在外公館員によってのみ締結される,A
「永続的反対国」とは誰か?,その成立後、当該規則に執拗に反対する国,短期間、当該規則に拘束されることを否定する国,慣習法規則の成立当初から、執拗かつ公に反対する国,慣習法規則の成立は受け入れるが、その内容については反対を維持する国,C
集団安全保障の意味は何か?,協調して行動する複数の国による自衛権,同盟国が被害国を防衛する権利,国連安全保障理事会による武力行使の承認,国連総会による平和維持活動の承認,C
欧州人権条約は、次のうちどれを主な対象としているか?,経済的および社会的権利,環境に関する権利,市民的・政治的権利,経済的自由,C
国際法廷の管轄権は、国内法廷に適用される原則と同じもので規定されるか?,国内裁判所に適用される裁判管轄の原則は、国際法廷にも共通する,すべての国際法廷の裁判管轄は、国連安全保障理事会によって規定される,国際法廷は、国内裁判所に適用される裁判管轄の原則の一部（すべてではない）を共有している,国際法廷の裁判管轄は、その設立条約によってのみ規定される,D
集団的権利の意味は何か?,集団的権利は異なる人々の集団に属する,集団的権利とは、集団の個々の構成員とは対照的に、特定の集団に属する権利,少数者の権利は集団的権利,集団的権利は、グループ自体の権利及びグループの構成員の個人的権利を伴う,B
国家は交渉を行う際、何らかの義務を負っているか?,交渉をどのように行うかについて、各国は義務を負わない,交渉が有意義なものとなるよう、各国は自らを律する義務を負う,交渉を行うときは常に、紛争の解決策を見出す義務を負う,交渉の進捗状況について、各国は国連事務総長に報告する義務を負う,B
自然主義と実証主義の大きな違いは何か?,一方では、自然主義は普遍的かつ客観的な範囲の一連のルールに基づいており、他方では、実証主義は、国家がその利益と欲望に照らして作り上げる構造化された首尾一貫した法体系に基づいている,自然主義が人権法の理論にのみ奉仕するのに対し、実証主義はより広範で一般的な範囲を持っている,自然主義は国際社会の基盤となる価値観に関するものであるのに対し、実証主義はそのような国際ルールに関するもの,自然主義はヨーロッパ以外の国で提唱された学派であるのに対し、実証主義はヨーロッパ中心の理論,A
「国際的に不当な行為」とは何か?,国際的に不当な行為とは、国際刑法の規則に違反する行為または不作為,国際的に不当な行為とは、国の帰責事由の有無にかかわらず、国の国際的義務に違反するすべての行為,国際的に不当な行為とは、国の国際的義務違反を構成する、国の帰責事由に基づく行為または不作為からなる,国際的に不当な行為とは、必要性、不可抗力などを理由に免責されない行為,C
効果理論とは何か?,それは、司法権は実効性がある場合にのみ存在するとする,効果理論は、有害な行為と実効的な関係を有する国に司法権を付与するもの,効果理論は、加害者の国籍を共有する国に司法権を付与するもの,効果理論は、その行為が効果をもたらす領土を有する国に司法権を付与するもの,D
国際責任法上、国家の「事実上の」機関とみなされるのはどのような人物か?,「事実上の機関」とは、政府権限の要素を行使する権限を法律で与えられている個人のこと,「事実上の機関」とは、国家に帰属する行為を遂行する際に、事実上、その国家の指示に基づいて、またはその国家の指示もしくは統制の下で行動している者のこと,「事実上の機関」とは、正当な権限または権限踰越なしに行動する国家の法上の機関のこと,「事実上の機関」とは、その行為または不作為を国家に帰属させることができない機関のこと,B
慣習が英国法に組み込まれるための大前提は何か?,慣習は既存の法律と抵触しなければ組み込まれる,慣習は英国法に優越し、常に組み込まれる,慣習は、裁判所が国内法に組み込む前に、まず議会によって承認されなければならない,慣習は、実施法の可決によって組み込まれる,A
国際連合憲章以前には武力行使は認められていたか?,武力行使は禁止されていた,制限なく武力行使は認められていた,わずかな制限を条件として武力行使は認められていた,1945年以前は国際法上、武力行使は規制されていなかった,C
裁判権の保護原則とは何か?,国外で行われた行為によって国益が害されることに基づく裁判権,国外で自国民を保護するための裁判権,国際人権を保護するための裁判権,犯罪者の国籍に基づく裁判権,A
次の記述のうち、正しいものはどれか?,欧州評議会は1950年に設立され、27カ国で構成されている,欧州評議会は1949年に設立され、47カ国で構成されている,欧州評議会は1959年に設立され、34カ国で構成されている,欧州評議会は1984年に設立され、19カ国で構成されている,B
海洋境界画定の法律と慣行における「公平な結果」とは何か?,国際裁判所および法廷が従う唯一の境界画定の方法,公平な結果とは、裁判官又は仲裁人が、公正で善なるものにしたがって、すなわち、その裁量に基づき、かつ、境界画定の場合に公正かつ公平であると認めるものに照らして、決定するもの,大陸棚とEEZのすべての境界画定が達成すべき最終的な結果であるが、暫定的な「等距離線」を描き、関連する状況と比例性テストに照らしてゾーンを調整した後に達成されるべきもの,公平な結果を達成することは、現在は適用できない古い境界画定の方法,C
デロゲーションとは何か?,デロゲーションとは、条約に含まれる特定の人権義務からの免除,デロゲーションとは、権利者が国家に対して義務違反の訴えを提起する能力のこと,国家は、その存立を脅かすような状況において、デロゲーションによって特定の権利を停止することができる,デロゲーションとは、人権条約における執行条項,C
jure gestionisな行為とは何か?,jure gestionisとは、国家が私的な立場で行う行為のこと,国家による購入はすべてjure gestionis,国家法人による行為はすべてjure gestionis,政府職員が自由な時間に行う行為はすべてjus gestionisとみなされる。,A
文化相対主義の意味は何か?,文化相対主義は、人権は制限なくすべての人に平等に適用されると仮定する,文化相対主義は、人権は文化的起源を持つと仮定する,文化相対主義は、人権の適用は各国の法律に相対的であると仮定する,文化相対主義は、すべての人権の存在と実践を地域の文化が認めるべきだと仮定する,D
現代の国際慣行において、政府承認は普及しているか?,政府の承認は、現代の慣行において非常に普及している,政府の承認は、大部分が機能的承認に取って代わられている,政府の承認は、反乱団体に関して一般的,民主的な政府のみが、現代の慣行において承認されている,B
世界人権宣言（UDHR）の法的性質は何か?,UDHRは多国間条約,UDHRは国連総会決議,UDHRは国連安全保障理事会決議,UDHRは複数の国が国際会議で採択した宣言,B
ECHR加盟国の領域外で行われた人権侵害は、どのような場合にECHRの適用範囲に入るか?,ECHR加盟国が国外で人権を侵害している場合、ECHRは欧州域外に適用される,ECHR加盟国が実効的な支配を行っている状況では、ECHRは域外に適用される,ECHR加盟国が国連平和維持活動に軍を提供している場合、ECHRは域外に適用される,ECHR加盟国の旧植民地で人権侵害が行われている場合、ECHRは域外に適用される,B
「合意は拘束する」原則とはどういう意味か?,条約の当事者は、その条項を認識し、誤解してはならない,条約の当事者は、条約の目的と趣旨を守るべき,条約の当事者は、誠実にその条項を守るべき,条約の当事者は、条約の最も重要な条項に違反してはならない,C
錫理事会事件において、実施法が存在しなかったことの結果は何か?,国際錫理事会はロンドンに本部を置いていたため、実施法が存在しないことは取るに足らないことであった,国際組織の構成条約は、編入の原則に従う,理事会の設立条約に関して実施法が存在しないことは、英国の法体系において、個人が条約から権利と義務を派生させないことを意味した,国際組織に関して英国で実施法が存在しないことは、国際法上取るに足らないこと,C
次の記述のうち、正しいものはどれか?,1998年人権法は、欧州人権条約を英国法に組み入れる,1998年人権法は、裁判所が第一次立法を無効とすることを認める,1998年人権法は、合理的な理由がある者は誰でも裁判所に訴訟を提起することを認める,1998年人権法は、EUの基本権憲章を英国法に組み入れる,A
賠償義務にはどのような形態があるか?,賠償は、利息を含む金銭的な補償の形態のみをとることができる,賠償は、不当な行為の物理的な返還のみを意味する,賠償には、単独でまたは他の形態の賠償とともに、返還、補償、満足が含まれる,賠償の形態は、責任国が決定する問題,C
強行規範とは何か?,国際法の絶対的規範であり、そこから逸脱することは許されず、各国の同意があっても変更されることはない,多国間条約に規定され、広く参加する国際法の規則,国連安全保障理事会の決定,国際司法裁判所の判断の基礎となる国際法の規則,A
「一方的行為」とは何か?,一方的行為とは、国家が慣習の中で慣行としての行為,一方的行為とは、行為国に対して一方的な法的義務を生じさせる行為,一方的行為とは、いかなる法的効果も持たない単なる国家の政治的行為,一方的行為とは、国家が条約に拘束されるための行為,B
域外拉致は、英国の裁判所が他の合法的な管轄権を拒否する根拠となるか?,そのような拉致は手続の濫用であり、手続の停止につながる,そのような拉致は拉致者の責任を生じさせるが、手続の停止にはつながらない,そのような状況下での手続の停止は、国際的な犯罪者に関する司法の運営を妨げることになる,裁判所は域外拉致の場合に手続を停止することができるが、そのようなことはめったにない,A
国際責任法における「二次的規則」の意味は何か?,二次的規則とは、国際責任法を含む国際法の解釈規則,二次的規則とは、一次的規則、すなわち国家の国際的義務の違反から生じる法的結果を規定する規則,二次的規則とは、国際責任法における帰属の概念のみを規定する規則,二次的規則とは、対抗措置法のみを規定する規則,B
編入の原則は、条約に関して何を示唆しているか?,編入の原則は、すべての条約が国内法となる前に立法化を経ることを要求する,編入の原則は、国内レベルでのさらなる措置を必要としない,編入の原則は、条約を国内法より劣ったものとみなす,編入の原則は、批准された条約が自動的に国内法の領域に入ることを示唆する,D
ICJが出した暫定措置は当事国を拘束するか?,いいえ、国の関連規定の字義通りの解釈によれば、暫定措置は拘束力を持たない,いいえ、当事者が事前にそのように合意していない限り,暫定措置が拘束力を持つかどうかは裁判所次第,はい、ラ・グランド事件（2001年）以来、裁判所は一貫して暫定措置が拘束力を持つと判断している,D
対抗措置が違法となるのはどのような場合か?,対抗措置が違法であるのは、特に、不釣り合いであったり、国際法の絶対的規範（武力行使や人権など）に違反する場合,対抗措置が違法であるのは、武力紛争の過程でとられた場合,対抗措置が違法であるのは、二国間条約に違反する場合,対抗措置が違法であるのは、責任国が同意していない場合,A
